,"dateUpdated","timeUpdated","brand","categories","colors","name","isSale","offer"
"AWpyzlajAGTnQPR7wOX8","2019 May, 1","2019-05-01T09:26:59Z","Floral","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black","FLORAL Pearl Women's Wide Width Evening Dress Shoes for Wedding, Prom, Dinner BLACK 12",,"Online only"
"AWpytBRKJbEilcB6Rf1i","2019 May, 1","2019-05-01T09:01:36Z","Adidas","Clothing,Shoes,Womens Shoes,All Womens Shoes","Metallic Multi Soft Leather","Women's SoftWalk Hart Quarter Strap Wedge Sandal",,"Online only"
"AWpykE4QJbEilcB6Re54","2019 May, 1","2019-05-01T08:17:11Z","The Highest Heel","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black and White Combo","THHSPECTRUM-31 6'' Prism Heel And With Plain Vamp",,"Online only: 26% off"
"AWpykdyGAGTnQPR7wK11","2019 May, 1","2019-05-01T08:16:50Z","Charles Albert","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black","Charles Albert Women's Allstar Riding Knee-High Boot in Black Size: 7",,"Online only"
"AWpymp7p0U_gzG0hj-m_","2019 May, 1","2019-05-01T08:16:49Z","Thalia Sodi","Clothing,Shoes,Womens Shoes,All Womens Shoes","Natural Snk Pu","Thalia Sodi Womens Zuly Peep Toe Loafers",,"Online only: 20% off"
"AWpyg8JyAGTnQPR7wIev","2019 May, 1","2019-05-01T08:03:02Z","SoftWalk","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Knit Flexible Technical Fabric","women's softwalk sampson sneaker",,"Online only"
"AWpyZsvBM263mwCq-7Q8","2019 May, 1","2019-05-01T07:05:26Z","Western Chief","Clothing,Shoes,Womens Shoes,All Womens Shoes","Florence Berry","Western Chief Women's Plush Slip On Slipper",,"Online only: 58% off"
"AWpx8mtXJbEilcB6RTt9","2019 May, 1","2019-05-01T05:20:12Z","Soda","Clothing,Shoes,Womens Shoes,All Womens Shoes","Tan Brown","Pure by Soda, Ankle Strap Flat Sandal w Gladiator Cross Strap Fisherman Gladiator",,"Online only"
"AWpx3JHC0U_gzG0hjype","2019 May, 1","2019-05-01T05:20:01Z","City Classified","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black","City Classified Elect S Women's Peep Toe Cut Out Ankle Bootie",,"Online only"
"AWpx480I0U_gzG0hjyuj","2019 May, 1","2019-05-01T05:15:15Z","Brinley Co.","Clothing,Shoes,Womens Shoes,All Womens Shoes","Camel","Women's August Slouchy Wide Calf Boots",,"Online only"
"AWpx8ULUAGTnQPR7v_lS","2019 May, 1","2019-05-01T05:14:56Z","Mark and Maddux","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black","Mark and Maddux Pointed Toe Women's Loafer Pumps",,"Online only"
"AWpx9kE6AGTnQPR7v_oZ","2019 May, 1","2019-05-01T05:14:42Z","Madden Girl","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Paris","Madden Girl Womens Barbiee Pointed Toe Ankle Fashion Boots",,"Online only: 32% off"
"AWpx997-0U_gzG0hjy7O","2019 May, 1","2019-05-01T05:14:39Z","Unique Bargains","Womens Shoes,Clothing,All Womens Shoes,Shoes","Black","PYPE Women Contrast Sole Breathable Mesh Running Shoes",,"Online only: 50% off"
"AWpx64kg0U_gzG0hjyz4","2019 May, 1","2019-05-01T05:14:35Z","Noble Outfitters","Clothing,Shoes,Womens Shoes,All Womens Shoes","Charcoal","Noble Outfitters Western Boots Womens All Around Floral Embossed 66025",,"Online only"
